ablation,metric,model,seed,split,task,value
none,final_answer_accuracy,direct,0,iid,parity,0.6676666666666666
zero_attention_output,final_answer_accuracy,direct,0,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,0,iid,parity,0.4806666666666667
zero_positional_encoding,final_answer_accuracy,direct,0,iid,parity,0.5573333333333333
none,final_answer_accuracy,cot_true,0,iid,parity,0.9993333333333333
zero_attention_output,final_answer_accuracy,cot_true,0,iid,parity,0.5026666666666667
zero_mlp_output,final_answer_accuracy,cot_true,0,iid,parity,0.655
zero_positional_encoding,final_answer_accuracy,cot_true,0,iid,parity,0.6113333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,0,iid,parity,0.49733333333333335
none,final_answer_accuracy,cot_pad,0,iid,parity,0.5493333333333333
zero_attention_output,final_answer_accuracy,cot_pad,0,iid,parity,0.5073333333333333
zero_mlp_output,final_answer_accuracy,cot_pad,0,iid,parity,0.5306666666666666
zero_positional_encoding,final_answer_accuracy,cot_pad,0,iid,parity,0.5193333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_pad,0,iid,parity,0.55
none,final_answer_accuracy,direct,1,iid,parity,0.649
zero_attention_output,final_answer_accuracy,direct,1,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,1,iid,parity,0.5036666666666667
zero_positional_encoding,final_answer_accuracy,direct,1,iid,parity,0.5163333333333333
none,final_answer_accuracy,cot_true,1,iid,parity,0.9913333333333333
zero_attention_output,final_answer_accuracy,cot_true,1,iid,parity,0.49366666666666664
zero_mlp_output,final_answer_accuracy,cot_true,1,iid,parity,0.586
zero_positional_encoding,final_answer_accuracy,cot_true,1,iid,parity,0.5383333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,1,iid,parity,0.513
none,final_answer_accuracy,cot_pad,1,iid,parity,0.612
zero_attention_output,final_answer_accuracy,cot_pad,1,iid,parity,0.49533333333333335
zero_mlp_output,final_answer_accuracy,cot_pad,1,iid,parity,0.5143333333333333
zero_positional_encoding,final_answer_accuracy,cot_pad,1,iid,parity,0.5166666666666667
zero_state_token_embeddings,final_answer_accuracy,cot_pad,1,iid,parity,0.584
none,final_answer_accuracy,direct,2,iid,parity,0.6246666666666667
zero_attention_output,final_answer_accuracy,direct,2,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,2,iid,parity,0.497
zero_positional_encoding,final_answer_accuracy,direct,2,iid,parity,0.5153333333333333
none,final_answer_accuracy,cot_true,2,iid,parity,1.0
zero_attention_output,final_answer_accuracy,cot_true,2,iid,parity,0.5206666666666667
zero_mlp_output,final_answer_accuracy,cot_true,2,iid,parity,0.759
zero_positional_encoding,final_answer_accuracy,cot_true,2,iid,parity,0.5513333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,2,iid,parity,0.5313333333333333
none,final_answer_accuracy,cot_pad,2,iid,parity,0.592
zero_attention_output,final_answer_accuracy,cot_pad,2,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,cot_pad,2,iid,parity,0.5216666666666666
zero_positional_encoding,final_answer_accuracy,cot_pad,2,iid,parity,0.5273333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_pad,2,iid,parity,0.5353333333333333
none,final_answer_accuracy,direct,3,iid,parity,0.532
zero_attention_output,final_answer_accuracy,direct,3,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,3,iid,parity,0.5233333333333333
zero_positional_encoding,final_answer_accuracy,direct,3,iid,parity,0.511
none,final_answer_accuracy,cot_true,3,iid,parity,0.99
zero_attention_output,final_answer_accuracy,cot_true,3,iid,parity,0.505
zero_mlp_output,final_answer_accuracy,cot_true,3,iid,parity,0.939
zero_positional_encoding,final_answer_accuracy,cot_true,3,iid,parity,0.589
zero_state_token_embeddings,final_answer_accuracy,cot_true,3,iid,parity,0.491
none,final_answer_accuracy,cot_pad,3,iid,parity,0.5756666666666667
zero_attention_output,final_answer_accuracy,cot_pad,3,iid,parity,0.49933333333333335
zero_mlp_output,final_answer_accuracy,cot_pad,3,iid,parity,0.5006666666666667
zero_positional_encoding,final_answer_accuracy,cot_pad,3,iid,parity,0.5076666666666667
zero_state_token_embeddings,final_answer_accuracy,cot_pad,3,iid,parity,0.5596666666666666
none,final_answer_accuracy,direct,4,iid,parity,0.622
zero_attention_output,final_answer_accuracy,direct,4,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,direct,4,iid,parity,0.5036666666666667
zero_positional_encoding,final_answer_accuracy,direct,4,iid,parity,0.5166666666666667
none,final_answer_accuracy,cot_true,4,iid,parity,1.0
zero_attention_output,final_answer_accuracy,cot_true,4,iid,parity,0.5
zero_mlp_output,final_answer_accuracy,cot_true,4,iid,parity,0.879
zero_positional_encoding,final_answer_accuracy,cot_true,4,iid,parity,0.568
zero_state_token_embeddings,final_answer_accuracy,cot_true,4,iid,parity,0.5113333333333333
none,final_answer_accuracy,cot_pad,4,iid,parity,0.5126666666666667
zero_attention_output,final_answer_accuracy,cot_pad,4,iid,parity,0.5006666666666667
zero_mlp_output,final_answer_accuracy,cot_pad,4,iid,parity,0.523
zero_positional_encoding,final_answer_accuracy,cot_pad,4,iid,parity,0.5166666666666667
zero_state_token_embeddings,final_answer_accuracy,cot_pad,4,iid,parity,0.512
none,final_answer_accuracy,direct,0,iid,contains_11,0.8443333333333334
zero_attention_output,final_answer_accuracy,direct,0,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,direct,0,iid,contains_11,0.818
zero_positional_encoding,final_answer_accuracy,direct,0,iid,contains_11,0.8293333333333334
none,final_answer_accuracy,cot_true,0,iid,contains_11,1.0
zero_attention_output,final_answer_accuracy,cot_true,0,iid,contains_11,0.5273333333333333
zero_mlp_output,final_answer_accuracy,cot_true,0,iid,contains_11,0.9986666666666667
zero_positional_encoding,final_answer_accuracy,cot_true,0,iid,contains_11,0.984
zero_state_token_embeddings,final_answer_accuracy,cot_true,0,iid,contains_11,0.6106666666666667
none,final_answer_accuracy,cot_pad,0,iid,contains_11,0.9076666666666666
zero_attention_output,final_answer_accuracy,cot_pad,0,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,cot_pad,0,iid,contains_11,0.6626666666666666
zero_positional_encoding,final_answer_accuracy,cot_pad,0,iid,contains_11,0.6583333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_pad,0,iid,contains_11,0.774
none,final_answer_accuracy,direct,1,iid,contains_11,0.8303333333333334
zero_attention_output,final_answer_accuracy,direct,1,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,direct,1,iid,contains_11,0.8063333333333333
zero_positional_encoding,final_answer_accuracy,direct,1,iid,contains_11,0.7813333333333333
none,final_answer_accuracy,cot_true,1,iid,contains_11,1.0
zero_attention_output,final_answer_accuracy,cot_true,1,iid,contains_11,0.511
zero_mlp_output,final_answer_accuracy,cot_true,1,iid,contains_11,0.9993333333333333
zero_positional_encoding,final_answer_accuracy,cot_true,1,iid,contains_11,0.9853333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,1,iid,contains_11,0.6086666666666667
none,final_answer_accuracy,cot_pad,1,iid,contains_11,0.907
zero_attention_output,final_answer_accuracy,cot_pad,1,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,cot_pad,1,iid,contains_11,0.72
zero_positional_encoding,final_answer_accuracy,cot_pad,1,iid,contains_11,0.5773333333333334
zero_state_token_embeddings,final_answer_accuracy,cot_pad,1,iid,contains_11,0.785
none,final_answer_accuracy,direct,2,iid,contains_11,0.859
zero_attention_output,final_answer_accuracy,direct,2,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,direct,2,iid,contains_11,0.8406666666666667
zero_positional_encoding,final_answer_accuracy,direct,2,iid,contains_11,0.7973333333333333
none,final_answer_accuracy,cot_true,2,iid,contains_11,0.9996666666666667
zero_attention_output,final_answer_accuracy,cot_true,2,iid,contains_11,0.515
zero_mlp_output,final_answer_accuracy,cot_true,2,iid,contains_11,0.9993333333333333
zero_positional_encoding,final_answer_accuracy,cot_true,2,iid,contains_11,0.987
zero_state_token_embeddings,final_answer_accuracy,cot_true,2,iid,contains_11,0.5003333333333333
none,final_answer_accuracy,cot_pad,2,iid,contains_11,0.9106666666666666
zero_attention_output,final_answer_accuracy,cot_pad,2,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,cot_pad,2,iid,contains_11,0.7086666666666667
zero_positional_encoding,final_answer_accuracy,cot_pad,2,iid,contains_11,0.5663333333333334
zero_state_token_embeddings,final_answer_accuracy,cot_pad,2,iid,contains_11,0.9016666666666666
none,final_answer_accuracy,direct,3,iid,contains_11,0.8443333333333334
zero_attention_output,final_answer_accuracy,direct,3,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,direct,3,iid,contains_11,0.8293333333333334
zero_positional_encoding,final_answer_accuracy,direct,3,iid,contains_11,0.829
none,final_answer_accuracy,cot_true,3,iid,contains_11,0.9996666666666667
zero_attention_output,final_answer_accuracy,cot_true,3,iid,contains_11,0.5193333333333333
zero_mlp_output,final_answer_accuracy,cot_true,3,iid,contains_11,0.9853333333333333
zero_positional_encoding,final_answer_accuracy,cot_true,3,iid,contains_11,0.9843333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,3,iid,contains_11,0.5
none,final_answer_accuracy,cot_pad,3,iid,contains_11,0.9093333333333333
zero_attention_output,final_answer_accuracy,cot_pad,3,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,cot_pad,3,iid,contains_11,0.622
zero_positional_encoding,final_answer_accuracy,cot_pad,3,iid,contains_11,0.7163333333333334
zero_state_token_embeddings,final_answer_accuracy,cot_pad,3,iid,contains_11,0.8406666666666667
none,final_answer_accuracy,direct,4,iid,contains_11,0.8563333333333333
zero_attention_output,final_answer_accuracy,direct,4,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,direct,4,iid,contains_11,0.8303333333333334
zero_positional_encoding,final_answer_accuracy,direct,4,iid,contains_11,0.815
none,final_answer_accuracy,cot_true,4,iid,contains_11,0.999
zero_attention_output,final_answer_accuracy,cot_true,4,iid,contains_11,0.5176666666666667
zero_mlp_output,final_answer_accuracy,cot_true,4,iid,contains_11,0.999
zero_positional_encoding,final_answer_accuracy,cot_true,4,iid,contains_11,0.985
zero_state_token_embeddings,final_answer_accuracy,cot_true,4,iid,contains_11,0.583
none,final_answer_accuracy,cot_pad,4,iid,contains_11,0.9116666666666666
zero_attention_output,final_answer_accuracy,cot_pad,4,iid,contains_11,0.5
zero_mlp_output,final_answer_accuracy,cot_pad,4,iid,contains_11,0.7213333333333334
zero_positional_encoding,final_answer_accuracy,cot_pad,4,iid,contains_11,0.654
zero_state_token_embeddings,final_answer_accuracy,cot_pad,4,iid,contains_11,0.8683333333333333
none,final_answer_accuracy,direct,0,iid,mod3,0.5596666666666666
zero_attention_output,final_answer_accuracy,direct,0,iid,mod3,0.3333333333333333
zero_mlp_output,final_answer_accuracy,direct,0,iid,mod3,0.36333333333333334
zero_positional_encoding,final_answer_accuracy,direct,0,iid,mod3,0.3473333333333333
none,final_answer_accuracy,cot_true,0,iid,mod3,1.0
zero_attention_output,final_answer_accuracy,cot_true,0,iid,mod3,0.33866666666666667
zero_mlp_output,final_answer_accuracy,cot_true,0,iid,mod3,0.5216666666666666
zero_positional_encoding,final_answer_accuracy,cot_true,0,iid,mod3,0.49633333333333335
zero_state_token_embeddings,final_answer_accuracy,cot_true,0,iid,mod3,0.3363333333333333
none,final_answer_accuracy,cot_pad,0,iid,mod3,0.5003333333333333
zero_attention_output,final_answer_accuracy,cot_pad,0,iid,mod3,0.353
zero_mlp_output,final_answer_accuracy,cot_pad,0,iid,mod3,0.347
zero_positional_encoding,final_answer_accuracy,cot_pad,0,iid,mod3,0.3323333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_pad,0,iid,mod3,0.41333333333333333
none,final_answer_accuracy,direct,1,iid,mod3,0.52
zero_attention_output,final_answer_accuracy,direct,1,iid,mod3,0.3333333333333333
zero_mlp_output,final_answer_accuracy,direct,1,iid,mod3,0.3516666666666667
zero_positional_encoding,final_answer_accuracy,direct,1,iid,mod3,0.3453333333333333
none,final_answer_accuracy,cot_true,1,iid,mod3,1.0
zero_attention_output,final_answer_accuracy,cot_true,1,iid,mod3,0.33266666666666667
zero_mlp_output,final_answer_accuracy,cot_true,1,iid,mod3,0.6006666666666667
zero_positional_encoding,final_answer_accuracy,cot_true,1,iid,mod3,0.5213333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_true,1,iid,mod3,0.3383333333333333
none,final_answer_accuracy,cot_pad,1,iid,mod3,0.5613333333333334
zero_attention_output,final_answer_accuracy,cot_pad,1,iid,mod3,0.33366666666666667
zero_mlp_output,final_answer_accuracy,cot_pad,1,iid,mod3,0.36333333333333334
zero_positional_encoding,final_answer_accuracy,cot_pad,1,iid,mod3,0.3393333333333333
zero_state_token_embeddings,final_answer_accuracy,cot_pad,1,iid,mod3,0.558
none,final_answer_accuracy,direct,2,iid,mod3,0.5866666666666667
zero_attention_output,final_answer_accuracy,direct,2,iid,mod3,0.3333333333333333
zero_mlp_output,final_answer_accuracy,direct,2,iid,mod3,0.355
zero_positional_encoding,final_answer_accuracy,direct,2,iid,mod3,0.3566666666666667
none,final_answer_accuracy,cot_true,2,iid,mod3,1.0
zero_attention_output,final_answer_accuracy,cot_true,2,iid,mod3,0.336
zero_mlp_output,final_answer_accuracy,cot_true,2,iid,mod3,0.5446666666666666
zero_positional_encoding,final_answer_accuracy,cot_true,2,iid,mod3,0.502
zero_state_token_embeddings,final_answer_accuracy,cot_true,2,iid,mod3,0.3403333333333333
none,final_answer_accuracy,cot_pad,2,iid,mod3,0.698
zero_attention_output,final_answer_accuracy,cot_pad,2,iid,mod3,0.334
zero_mlp_output,final_answer_accuracy,cot_pad,2,iid,mod3,0.355
zero_positional_encoding,final_answer_accuracy,cot_pad,2,iid,mod3,0.39366666666666666
zero_state_token_embeddings,final_answer_accuracy,cot_pad,2,iid,mod3,0.3973333333333333
none,final_answer_accuracy,direct,3,iid,mod3,0.403
zero_attention_output,final_answer_accuracy,direct,3,iid,mod3,0.3333333333333333
zero_mlp_output,final_answer_accuracy,direct,3,iid,mod3,0.3566666666666667
zero_positional_encoding,final_answer_accuracy,direct,3,iid,mod3,0.35133333333333333
none,final_answer_accuracy,cot_true,3,iid,mod3,1.0
zero_attention_output,final_answer_accuracy,cot_true,3,iid,mod3,0.3473333333333333
zero_mlp_output,final_answer_accuracy,cot_true,3,iid,mod3,0.5083333333333333
zero_positional_encoding,final_answer_accuracy,cot_true,3,iid,mod3,0.4806666666666667
zero_state_token_embeddings,final_answer_accuracy,cot_true,3,iid,mod3,0.33566666666666667
none,final_answer_accuracy,cot_pad,3,iid,mod3,0.6243333333333333
zero_attention_output,final_answer_accuracy,cot_pad,3,iid,mod3,0.3476666666666667
zero_mlp_output,final_answer_accuracy,cot_pad,3,iid,mod3,0.3546666666666667
zero_positional_encoding,final_answer_accuracy,cot_pad,3,iid,mod3,0.3566666666666667
zero_state_token_embeddings,final_answer_accuracy,cot_pad,3,iid,mod3,0.48033333333333333
none,final_answer_accuracy,direct,4,iid,mod3,0.5566666666666666
zero_attention_output,final_answer_accuracy,direct,4,iid,mod3,0.3333333333333333
zero_mlp_output,final_answer_accuracy,direct,4,iid,mod3,0.34833333333333333
zero_positional_encoding,final_answer_accuracy,direct,4,iid,mod3,0.349
none,final_answer_accuracy,cot_true,4,iid,mod3,1.0
zero_attention_output,final_answer_accuracy,cot_true,4,iid,mod3,0.3333333333333333
zero_mlp_output,final_answer_accuracy,cot_true,4,iid,mod3,0.5356666666666666
zero_positional_encoding,final_answer_accuracy,cot_true,4,iid,mod3,0.458
zero_state_token_embeddings,final_answer_accuracy,cot_true,4,iid,mod3,0.3426666666666667
none,final_answer_accuracy,cot_pad,4,iid,mod3,0.5076666666666667
zero_attention_output,final_answer_accuracy,cot_pad,4,iid,mod3,0.3406666666666667
zero_mlp_output,final_answer_accuracy,cot_pad,4,iid,mod3,0.362
zero_positional_encoding,final_answer_accuracy,cot_pad,4,iid,mod3,0.349
zero_state_token_embeddings,final_answer_accuracy,cot_pad,4,iid,mod3,0.4003333333333333
